name,numb,cue,reset,x,y,zoom,description,long_text,address,mask_geojson,tsp_geojson,streets_geojson,label_geojson,buildings_geojson,restaurants_geojson
Vazacs Horseshoe Bar,1,,,,,,Reinventing classics with a modern twist. A no-frills favorite among locals.,"Step inside Horseshoe Bar — or 7B, or Vazac’s, depending on who you ask — and you’ll find a piece of New York history that's starred in everything from The Godfather Part II and Crocodile Dundee to Jessica Jones and Law & Order. This East Village classic is instantly recognizable by its castle-like arched door and multipaned windows, but it’s what’s inside that really matters: a sprawling U-shaped bar with 31 taps, graffitied woodwork worn by decades of loyal regulars, and a punk-heavy jukebox that rattles the old-time photo booth. During the day, it's a laid-back sports bar with screens in every direction and a no-frills welcome; by night, it fills with a younger crowd who mix beer, pinball, and makeout sessions in true downtown style. A true safe bet for anyone chasing that classic, gritty, totally New York vibe — side entrance and all.","108 Avenue B, New York, NY 10009",1,0,0,0,0,0
Niagara,2,,,,,,"Regularly hosts live jazz and poetry nights. Small space, big flavors. A local favorite with a cult following. Family-owned and proudly traditional.","Before it was Niagara, 112 Avenue A was A7 — the beating heart of the New York Hardcore scene in the early '80s, where bands like Minor Threat and Social Distortion tore up the back room. Staffed by legends from Agnostic Front, Murphy’s Law, and more, the spirit of rebellion and DIY culture never left. Today, Niagara carries that legacy forward as a late-night East Village mainstay, blending live music, comedy, dancing, and a welcoming, no-frills bar vibe just across from Tompkins Square Park. With a full backline, killer sound, and both indoor and outdoor seating, it’s a place where local artists cut their teeth and the downtown faithful come to drink, dance, and keep the old spirit alive — right up until 4am.","112 Avenue A, New York, NY 10009",1,0,0,0,0,0
Tabetomo,3,,,,,,Beloved for late-night bites and cocktails.,"Tucked into the heart of the East Village at St. Marks and Avenue A, tabeTomo — named after founder Chef Tomo and meaning ""eating buddy"" in Japanese — is a gathering place for noodle lovers of all kinds. Known for its rich, deeply flavorful tonkotsu pork broth simmered for over 60 hours, tabeTomo specializes in jiro-style ramen and tsukemen, the beloved ""dipping ramen"" where springy noodles meet a separate bowl of concentrated broth. Whether you're a seasoned ramen connoisseur or a first-time tsukemen explorer, tabeTomo welcomes an eclectic crowd with a menu that's all about bold flavors, comforting textures, and a little bit of East Village soul.","131 Avenue A, New York, NY 10009",1,0,0,0,0,0
Doc Hollidays,4,,,,,,A rotating menu ensures no two visits are the same. Reinventing classics with a modern twist.,"Since 1994, Doc Holliday’s has been the East Village’s unlikely shrine to country music and honky-tonk hospitality — a place where the city’s frantic pace slows down at the door. Known as the “only honky tonk bar in NYC,” it feels more like a neighborhood watering hole than a downtown dive, anchored by a Western-themed mural and the glow of old-timey runway lights that have been beckoning regulars for decades. Inside, it’s all cheap drinks, classic country tunes, and a come-as-you-are spirit that feels as authentic as anything this side of the Hudson. If you think New York City isn’t a country town, you just haven’t been to Doc’s yet.","141 Avenue A, New York, NY 10009",1,0,0,0,0,0
Ralph's Famous,5,,,,,,Beloved for late-night bites and cocktails. Just steps away from the main square. Tucked inside an unassuming storefront. Regularly hosts live jazz and poetry nights.,"A sweet slice of old-school New York in the middle of the East Village, Ralph’s Famous Italian Ices has been cooling down the neighborhood one scoop at a time for decades. With a dizzying array of flavors — from classic lemon and cherry to rich cookie dough and peanut butter fudge — Ralph’s is the kind of spot where everyone becomes a kid again, standing on the sidewalk with a cup of rainbow-colored ice in hand. It’s a simple pleasure in a city that’s anything but simple, and a go-to stop whether you’re winding down a summer night, taking a break from Tompkins Square Park, or just chasing a little bit of sweetness in the middle of the bustle.","145 Avenue A, New York, NY 10009",1,0,0,0,0,0
Soda Club,6,,,,,,A rotating menu ensures no two visits are the same.,"Tucked away on Avenue B, Soda Club brings a refreshing twist to the East Village dining scene with its playful take on modern Italian and natural wines. Light, bright, and just a little bit cheeky, this neighborhood favorite swaps out the heavy red sauce vibe for something a little fresher — think seasonal plates, homemade pastas, and an ever-rotating list of organic and biodynamic wines. With cozy indoor seating and a welcoming patio when the weather’s right, Soda Club feels like the kind of place where friends linger over one more glass, newcomers become regulars, and the night somehow always stretches a little longer than you planned.","95 Avenue A, New York, NY 10009",1,0,0,0,0,0
Ray's Candy Store,7,,,,,,Regularly hosts live jazz and poetry nights. Just steps away from the main square. Family-owned and proudly traditional.,"Since 1974, Ray’s Candy Store has been a beloved East Village landmark, dishing out fried Oreos, soft-serve cones, and classic New York egg creams around the clock. Tucked into a tiny storefront on Avenue A, Ray’s is a late-night beacon for everyone from punk legends to neighborhood kids, its walls lined with handwritten signs and decades of memories. Open 24 hours a day and still often run by Ray himself — now well into his nineties — the shop feels like a living time capsule where the city’s wild energy meets its enduring heart. Whether you’re craving fries at 3AM or just a piece of true New York history, Ray’s always has the lights on.","113 Avenue A, New York, NY 10009",1,0,0,0,0,0
Horus Café,8,,,,,,Known for its cozy ambiance and eclectic menu. Offers seasonal dishes inspired by regional flavors. Regularly hosts live jazz and poetry nights. A no-frills favorite among locals.,"Horus Cafe brings a laid-back slice of the Mediterranean to the East Village, blending Egyptian-inspired eats, strong coffee, and late-night hookah sessions into an inviting neighborhood hangout. Inside, the colorful lanterns, carved woodwork, and cushioned benches set the tone for long conversations over plates of hummus, falafel, and lamb kebabs. Outside, the sidewalk seating hums with life well into the night, especially when the coals are burning and the tea is flowing. Whether you’re stopping by for a casual dinner, a smoke with friends, or just a place to unwind after a long day, Horus offers a warm, unhurried corner of the city that feels miles away from the rush.","293 E 10th St, New York, NY 10009",1,0,0,0,0,0
Miss Lily's,9,,,,,,A rotating menu ensures no two visits are the same. Don't miss the house-made desserts.,"Bright, bold, and bursting with energy, Miss Lily’s brings a taste of the Caribbean to the heart of the East Village. With its colorful walls, reggae beats, and a menu packed with island staples like jerk chicken, roti, and plantains, it’s the kind of spot where every meal feels like a mini vacation. The vibe is laid-back but electric, whether you're grabbing a casual brunch, settling in for dinner, or just swinging by for rum cocktails and good tunes. Part restaurant, part neighborhood party, Miss Lily’s is a joyful, high-spirited outpost that serves sunshine by the plateful — no passport required.","109 Avenue A, New York, NY 10009",1,0,0,0,0,0
Blind Barber,10,,,,,,A rotating menu ensures no two visits are the same. Don't miss the house-made desserts. A local favorite with a cult following.,"Hidden behind an unassuming barbershop facade on East 10th Street, Blind Barber is part speakeasy, part cocktail haven, and all East Village cool. By day, it’s a working barbershop offering sharp cuts and laid-back conversation; by night, it transforms into a dimly lit lounge where the music bumps, the drinks flow, and the energy feels effortlessly magnetic. Inside, leather booths, a glowing bar, and a buzzing crowd make it the kind of place where you show up for one drink and end up staying until last call. Equal parts secret and scene, Blind Barber captures the playful spirit of a neighborhood that’s always been about finding the fun just out of sight.","339 E 10th St, New York, NY 10009",1,0,0,0,0,0
